properties.id,properties.name,properties.proposer,properties.status.id,properties.status.name,properties.district,properties.year,properties.budget,properties.detail,properties.category.name,properties.image,latitude,longitude,category_category,category.status,ObjectId,x,y
1713,Přístup na rozhlednu Holedná z Komína,Miloš Vrážel,6,neproveditelný,Brno,2021,3000000,https://paro.damenavas.cz/projekt/?id=1713,Jiné,https://paro.damenavas.cz/wp-content/uploads/2021/05/1-DSCN5628x-225x300.jpg,49.19498,16.608303,failed,"Jiné, failed",292,1848827.8329004,6308010.41210166
1714,Oživme parčík u vozovny Husovice,Martin Glogar,15,nevítězný,Brno - Sever,2021,2215680,https://paro.damenavas.cz/projekt/?id=1714,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2021/05/vizualizace-1-300x211.png,49.207802246642,16.6299320899165,failed,"Zeleň, failed",293,1851235.57217622,6310194.92559905
1717,Stezka kolem Svratky (PD),Karel Pleva,17,jiný,Brno - Komín,2021,700000,https://paro.damenavas.cz/projekt/?id=1717,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2021/05/Stezka-1-300x225.jpg,49.220555594547,16.5368186556294,failed,"Zeleň, failed",294,1840870.23208537,6312368.26292182
1719,Psí park pro Krpole,Petr Klíč,14,nezískal podporu,Brno - Královo Pole,2021,820000,https://paro.damenavas.cz/projekt/?id=1719,Zvířata,https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/zvirata.svg,49.228069837857,16.5827042763063,failed,"Zvířata, failed",295,1845978.19601386,6313649.05086659
1720,Na třešně do Líšně,Petr Brandejský,6,neproveditelný,Brno - Líšeň,2021,2500000,https://paro.damenavas.cz/projekt/?id=1720,Jiné,https://paro.damenavas.cz/wp-content/uploads/2021/05/IMG-20210511-WA0008-225x300.jpg,49.200247430265,16.7036205017616,failed,"Jiné, failed",296,1859438.52866019,6308907.75044933
1721,Zamilovaný hájek budoucím generacím,Petr Bořecký,9,v realizaci,Brno - Řečkovice A Mokrá Hora,2021,3180000,https://paro.damenavas.cz/projekt/?id=1721,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2021/09/Zamilovaný-hájek-budoucím-generacím-led_brusle-300x300.jpg,49.241260873665,16.5934360888004,underconstruction+winner,"Zeleň, underconstruction+winner",297,1847172.85591599,6315897.90809437
1722,Kruháče pro ZŠ Bakalka,Jan Žilka,6,neproveditelný,Brno - Střed,2021,2955000,https://paro.damenavas.cz/projekt/?id=1722,Doprava,https://paro.damenavas.cz/wp-content/uploads/2021/05/bakalka-parkovaci-mista-300x204.png,49.184581486765,16.5993596749035,failed,"Doprava, failed",298,1847832.26650466,6306239.24345936
1723,PARKOUR a WORKOUT v Komíně,Eva Beranová,15,nevítězný,Brno - Komín,2021,3000000,https://paro.damenavas.cz/projekt/?id=1723,Sport,https://paro.damenavas.cz/wp-content/uploads/2021/05/pp-300x199.jpg,49.223740764447,16.559799390363,failed,"Sport, failed",299,1843428.43577397,6312911.14506489
1725,Obnova ústředního hřbitova,Robert Keprt,15,nevítězný,Brno - Střed,2021,3000000,https://paro.damenavas.cz/projekt/?id=1725,Senioři,https://paro.damenavas.cz/wp-content/uploads/2021/05/DSC03262-300x286.jpg,49.169293909748,16.5942882952068,failed,"Senioři, failed",300,1847267.7230992,6303636.00103644
1955,Cyklo zkapacitnění od lávky Monyové na Cacovice,Lukáš Sochor,17,jiný,Brno - Maloměřice A Obřany,2022,783000,https://paro.damenavas.cz/projekt/?id=1955,Doprava,https://paro.damenavas.cz/wp-content/uploads/2022/05/cyklo_cacovice-300x155.jpg,49.226823556387,16.6411551278475,failed,"Doprava, failed",301,1852484.91504386,6313436.61117592
1956,INFOBANNERY PRO BRNO,Jakub Hruška,15,nevítězný,Brno,2022,3144000,https://paro.damenavas.cz/projekt/?id=1956,Jiné,https://paro.damenavas.cz/wp-content/uploads/2022/05/kuba_cover-300x300.jpg,49.19498,16.608303,failed,"Jiné, failed",302,1848827.8329004,6308010.41210166
1957,Sport Žabovřeské louky:  02-Lukostřelba,Vít Zenkl,6,neproveditelný,Brno - Žabovřesky,2022,4990979,https://paro.damenavas.cz/projekt/?id=1957,Sport,https://paro.damenavas.cz/wp-content/uploads/2022/05/archery_web-300x169.jpg,49.210770057377,16.5658767080675,failed,"Sport, failed",303,1844104.95968623,6310700.62931671
1958,Vodní hřiště v Líšni,Anna Týčová,15,nevítězný,Brno - Líšeň,2022,2500000,https://paro.damenavas.cz/projekt/?id=1958,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/vodní-hříště_5-300x300.jpg,49.206888561285,16.6948694004379,failed,"Děti, failed",304,1858464.36051695,6310039.24318323
1959,Knížky z Ukrajiny pro děti a rodiče,Robert Keprt,15,nevítězný,Brno,2022,3000000,https://paro.damenavas.cz/projekt/?id=1959,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/Mukačevo-zn-300x274.jpg,49.19498,16.608303,failed,"Děti, failed",305,1848827.8329004,6308010.41210166
1962,Evropská devětadvacítka (jiná slovanská),Robert Keprt,15,nevítězný,Brno,2022,4999996,https://paro.damenavas.cz/projekt/?id=1962,Kultura,https://paro.damenavas.cz/wp-content/uploads/2022/05/2022-05-14a-300x294.png,49.19498,16.608303,failed,"Kultura, failed",306,1848827.8329004,6308010.41210166
1963,Hřiště s lanovými a parkour prvky Komín,Eva Beranová,15,nevítězný,Brno - Komín,2022,5000000,https://paro.damenavas.cz/projekt/?id=1963,Sport,https://paro.damenavas.cz/wp-content/uploads/2022/05/hřiště1-300x225.jpg,49.223729521392,16.559787584537,failed,"Sport, failed",307,1843427.12155543,6312909.22873076
1964,Stával v Žebětíně hrad?,Robert Keprt,6,neproveditelný,Brno - Žebětín,2022,992300,https://paro.damenavas.cz/projekt/?id=1964,Kultura,https://paro.damenavas.cz/wp-content/uploads/2022/05/Hradisko-Žebětín-300x169.jpg,49.21527570995,16.4870959502589,failed,"Kultura, failed",308,1835335.12584266,6311468.43349699
1965,Obnova hrobů na brněnských hřbitovech,Robert Keprt,15,nevítězný,Brno,2022,5000000,https://paro.damenavas.cz/projekt/?id=1965,Senioři,https://paro.damenavas.cz/wp-content/uploads/2022/05/hř-300x295.jpg,49.19498,16.608303,failed,"Senioři, failed",309,1848827.8329004,6308010.41210166
1966,Jediná kaple sv. Dobroslavy v rodné zemi,Robert Keprt,15,nevítězný,Brno - Černovice,2022,3046000,https://paro.damenavas.cz/projekt/?id=1966,Kultura,https://paro.damenavas.cz/wp-content/uploads/2022/05/Dobroslava-300x300.jpg,49.177677397302,16.6465757670432,failed,"Kultura, failed",310,1853088.3378389,6305063.48220752
1967,S rikša-kolem po Brně za kulturou,Radek Holík,14,nezískal podporu,Brno,2022,4668000,https://paro.damenavas.cz/projekt/?id=1967,Kultura,https://paro.damenavas.cz/wp-content/uploads/2022/05/Radkutsche-musketier1-300x232.jpg,49.19498,16.608303,failed,"Kultura, failed",311,1848827.8329004,6308010.41210166
1968,"Relax, gril, pláž, hrátky v Komíně",Eva Beranová,15,nevítězný,Brno - Komín,2022,4500000,https://paro.damenavas.cz/projekt/?id=1968,Zábava,https://paro.damenavas.cz/wp-content/uploads/2022/05/7-300x200.jpg,49.215617145081,16.5552129804438,failed,"Zábava, failed",312,1842917.8789572,6311526.62000155
1969,18 jamkové discgolfové hřiště,Zdeněk Gothard,6,neproveditelný,Brno - Černovice,2022,4010000,https://paro.damenavas.cz/projekt/?id=1969,Sport,https://paro.damenavas.cz/wp-content/uploads/2022/05/5B7025FA-F561-4294-8D22-D7AD856274AD-300x169.jpeg,49.170034986036,16.663315734247,failed,"Sport, failed",313,1854951.82246392,6303762.17654356
1970,NÁVES – KOMUNITNÍ PROSTOR V MOKRÉ HOŘE,Iva Tůmová,6,neproveditelný,Brno - Řečkovice A Mokrá Hora,2022,2494000,https://paro.damenavas.cz/projekt/?id=1970,Jiné,https://paro.damenavas.cz/wp-content/uploads/2022/05/jehnice-300x200.jpg,49.25793711403,16.5922789187783,failed,"Jiné, failed",314,1847044.04033837,6318741.7959481
1971,Zastínění dětských hřišť v Bystrci,Martin Zlatoš,14,nezískal podporu,Brno - Bystrc,2022,2060000,https://paro.damenavas.cz/projekt/?id=1971,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/hriste-sestka-300x200.jpg,49.223627849509,16.5333517365733,failed,"Děti, failed",315,1840484.29642143,6312891.89918132
1972,Umění s tématikou ochrany zvířat,Vendula  Brabcová,6,neproveditelný,Brno - Sever,2022,380000,https://paro.damenavas.cz/projekt/?id=1972,Kultura,https://paro.damenavas.cz/wp-content/uploads/2022/05/mural02-300x300.png,49.205242634992,16.6263485494759,failed,"Kultura, failed",316,1850836.65427914,6309758.80183956
1974,Cyklostezka Hradecká,Jaroslav Juřica,6,neproveditelný,Brno - Žabovřesky,2022,2260000,https://paro.damenavas.cz/projekt/?id=1974,Doprava,https://paro.damenavas.cz/wp-content/uploads/2022/05/cyklostezka-zakres-z-hriste-ZS-300x300.jpg,49.213545756539,16.5888993002916,failed,"Doprava, failed",317,1846667.82292935,6311173.62542412
1975,Revitalizace hřiště v Julcu,David Pleva,15,nevítězný,Brno - Židenice,2022,1967000,https://paro.damenavas.cz/projekt/?id=1975,Děti,https://paro.damenavas.cz/wp-content/uploads/2022/05/Hriste-2-300x169.jpg,49.191089579217,16.6561417590655,failed,"Děti, failed",318,1854153.21919975,6307347.71692945
1976,Flow skatepark,Alena Mazalová,6,neproveditelný,Brno - Žabovřesky,2022,5000000,https://paro.damenavas.cz/projekt/?id=1976,Sport,https://paro.damenavas.cz/wp-content/uploads/2022/05/Resize-of-Zakres1-1-300x225.jpg,49.219641837046,16.5759026692214,failed,"Sport, failed",319,1845221.04457659,6312212.52803982
1977,Náhrada kamenné aleje Soběšická,Jiří Pressfreund,15,nevítězný,Brno - Sever,2022,450000,https://paro.damenavas.cz/projekt/?id=1977,Zeleň,https://paro.damenavas.cz/wp-content/uploads/2022/05/Alej-Sobesicka-300x128.jpeg,49.228153148379,16.6315647500955,failed,"Zeleň, failed",320,1851417.31907599,6313663.25207241
