properties.id;properties.name;properties.proposer;properties.status.id;properties.status.name;properties.district;properties.year;properties.budget;properties.detail;properties.category.name;properties.image;latitude;longitude;category_category;category.status;ObjectId;x;y
2339;Pomník parašutistům skup. SILVER B;Josef Šlesinger;5;proveditelný;Brno - Medlánky;2024;940000;https://paro.damenavas.cz/projekt/?id=2339;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/04/para-1-scaled-1-300x168.jpg;49,23854073;16,58311209;got approval;Kultura, got approval;994;1846023,593;6315434,119
2340;Parčík a dětské hřiště;Danuše Kučerová;5;proveditelný;Brno - Sever;2024;4950000;https://paro.damenavas.cz/projekt/?id=2340;Děti;https://paro.damenavas.cz/wp-content/themes/vega/assets/img/category-icon/deti.svg;49,22348678;16,62732309;got approval;Děti, got approval;995;1850945,14;6312867,854
2342;Vzdušné domovy;Lenka Vašková;5;proveditelný;Brno - Sever;2024;645000;https://paro.damenavas.cz/projekt/?id=2342;Zvířata;https://paro.damenavas.cz/wp-content/uploads/2024/05/Obrázek1-300x200.png;49,19999732;16,6225167;got approval;Zvířata, got approval;996;1850410,095;6308865,141
2343;Naučná stezka;Jiří Ondráček;5;proveditelný;Brno - Kníničky;2024;4955000;https://paro.damenavas.cz/projekt/?id=2343;Doprava;https://paro.damenavas.cz/wp-content/uploads/2024/06/Stezka-1-268x300.jpeg;49,24846051;16,5134799;got approval;Doprava, got approval;997;1838272,174;6317125,583
2345;Pyramida vizí;Tomáš Studený;6;neproveditelný;Brno - Maloměřice A Obřany;2024;148500;https://paro.damenavas.cz/projekt/?id=2345;Kultura;https://paro.damenavas.cz/wp-content/uploads/2024/04/cover_pic-4-300x300.jpg;49,22472536;16,63897995;failed;Kultura, failed;998;1852242,775;6313078,967
2346;Revitalizace vnitrobloku Labská 29–35;Eva  Novosádová;5;proveditelný;Brno - Starý Lískovec;2024;5000000;https://paro.damenavas.cz/projekt/?id=2346;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/04/Vnitroblok-z-ptačí-perspektivy-2-138x300.jpg;49,17034066;16,55836974;got approval;Zeleň, got approval;999;1843269,288;6303814,221
2349;Největší Relaxační zóna na Vinohradech;David  Svačina;5;proveditelný;Brno - Vinohrady;2024;5000000;https://paro.damenavas.cz/projekt/?id=2349;Zeleň;https://paro.damenavas.cz/wp-content/uploads/2024/04/mapa-3-300x251.png;49,20659408;16,66175017;got approval;Zeleň, got approval;1000;1854777,545;6309989,068
2352;Nová pláž Racek na brněnské přehradě;Zuzana Černá;5;proveditelný;Brno - Bystrc;2024;5000000;https://paro.damenavas.cz/projekt/?id=2352;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/05/pláž-racek-1-300x300.png;49,24479977;16,49702789;got approval;Jiné, got approval;1001;1836440,744;6316501,335
2353;Zamykatelné skříňky v parku Lužánky;Zbyněk Vavroš;5;proveditelný;Brno - Střed;2024;1300000;https://paro.damenavas.cz/projekt/?id=2353;Jiné;https://paro.damenavas.cz/wp-content/uploads/2024/04/skrinky-77367-0_600-300x225.jpg;49,20521126;16,61041446;got approval;Jiné, got approval;1002;1849062,879;6309753,456
2358;Dětské hřiště na náměstí 28. října;Ing. arch. Inka Trhlíková;5;proveditelný;Brno - Střed;2024;4000000;https://paro.damenavas.cz/projekt/?id=2358;Děti;https://paro.damenavas.cz/wp-content/uploads/2024/05/01-300x225.jpg;49,20234018;16,61297796;got approval;Děti, got approval;1003;1849348,247;6309264,289
